date,airline,text
01-08-2025,Spicejet,Cabin crew seemed untrained and inattentive.
02-08-2025,Vistara,Smooth check-in and boarding process.
03-08-2025,Indigo,Smooth check-in and boarding process.
04-08-2025,Vistara,Long check-in lines and disorganized boarding.
05-08-2025,Vistara,Highly satisfied with the hospitality.
06-08-2025,Vistara,On-time departure and arrival.
07-08-2025,Vistara,Cabin crew seemed untrained and inattentive.
08-08-2025,Spicejet,"Lounge access was superb, felt premium."
09-08-2025,Air India,"Lounge access was superb, felt premium."
10-08-2025,Vistara,In-flight entertainment was outdated.
11-08-2025,Vistara,"Excellent service, very comfortable seats."
12-08-2025,Spicejet,Lost baggage and no proper response from staff.
13-08-2025,Indigo,Seats were cramped and uncomfortable.
14-08-2025,Spicejet,Technical issues caused hours of delay.
15-08-2025,Spicejet,On-time departure and arrival.
16-08-2025,Vistara,"Excellent service, very comfortable seats."
17-08-2025,Indigo,Flight was delayed and staff was rude.
18-08-2025,Air India,Lost baggage and no proper response from staff.
19-08-2025,Spicejet,Technical issues caused hours of delay.
20-08-2025,Vistara,Customer service was unhelpful and unresponsive.
21-08-2025,Vistara,Staff was friendly and professional.
22-08-2025,Spicejet,Great entertainment system and clean aircraft.
23-08-2025,Vistara,Staff was friendly and professional.
24-08-2025,Air India,Highly satisfied with the hospitality.
25-08-2025,Indigo,"Loved the in-flight meals, very tasty."
26-08-2025,Spicejet,Long check-in lines and disorganized boarding.
27-08-2025,Air India,Crew went above and beyond expectations.
28-08-2025,Vistara,Technical issues caused hours of delay.
29-08-2025,Indigo,Overall disappointing experience.
30-08-2025,Vistara,Flight was delayed and staff was rude.
01-08-2025,Air India,Smooth check-in and boarding process.
02-08-2025,Indigo,Great entertainment system and clean aircraft.
03-08-2025,Vistara,Highly satisfied with the hospitality.
04-08-2025,Air India,"Food was below average, not worth the price."
05-08-2025,Vistara,Highly satisfied with the hospitality.
06-08-2025,Spicejet,"Excellent service, very comfortable seats."
07-08-2025,Air India,Staff was friendly and professional.
08-08-2025,Air India,On-time departure and arrival.
09-08-2025,Air India,Lost baggage and no proper response from staff.
10-08-2025,Air India,Highly satisfied with the hospitality.
11-08-2025,Indigo,"Loved the in-flight meals, very tasty."
12-08-2025,Spicejet,In-flight entertainment was outdated.
13-08-2025,Vistara,Had a very relaxing flight experience.
14-08-2025,Spicejet,Cabin crew seemed untrained and inattentive.
15-08-2025,Air India,Technical issues caused hours of delay.
16-08-2025,Vistara,Crew went above and beyond expectations.
17-08-2025,Air India,Highly satisfied with the hospitality.
18-08-2025,Vistara,Lost baggage and no proper response from staff.
19-08-2025,Vistara,Overall disappointing experience.
20-08-2025,Spicejet,Flight was delayed and staff was rude.
21-08-2025,Vistara,Great entertainment system and clean aircraft.
22-08-2025,Spicejet,Crew went above and beyond expectations.
23-08-2025,Air India,Highly satisfied with the hospitality.
24-08-2025,Vistara,"Excellent service, very comfortable seats."
25-08-2025,Air India,"Loved the in-flight meals, very tasty."
26-08-2025,Spicejet,On-time departure and arrival.
27-08-2025,Spicejet,"Loved the in-flight meals, very tasty."
28-08-2025,Air India,On-time departure and arrival.
29-08-2025,Indigo,Technical issues caused hours of delay.
30-08-2025,Spicejet,Customer service was unhelpful and unresponsive.
01-08-2025,Indigo,Crew went above and beyond expectations.
